Reference,DOI,MOF contained,True Water Stability,Justification Sentence,
63,10.1016/j.micromeso.2008.11.020,HKUST-1 ,Unstable,"Both HKUST-1 and DUT-4 turned out to be unstable in direct contact with water, whereas the MIL-materials and ZIF-8 do show stability. ",
63,10.1016/j.micromeso.2008.11.020,ZIF-8 ,Stable,"Both HKUST-1 and DUT-4 turned out to be unstable in direct contact with water, whereas the MIL-materials and ZIF-8 do show stability. ",
63,10.1016/j.micromeso.2008.11.020,MIL-101,Stable,"Both HKUST-1 and DUT-4 turned out to be unstable in direct contact with water, whereas the MIL-materials and ZIF-8 do show stability. ",
63,10.1016/j.micromeso.2008.11.020,MIL-100(Fe),Stable,"Both HKUST-1 and DUT-4 turned out to be unstable in direct contact with water, whereas the MIL-materials and ZIF-8 do show stability. ",
63,10.1016/j.micromeso.2008.11.020,DUT-4,Unstable,"Both HKUST-1 and DUT-4 turned out to be unstable in direct contact with water, whereas the MIL-materials and ZIF-8 do show stability. ",
64,10.1021/ja500330a,MOF-801-P,Stable,"we find that MOF-801-P, MOF-802, MOF-841, UiO- 66, CAU-10, and MCM-41 exhibit the best and closest to the ideal cycling performance. These materials show robust cycling performance as indicated by the similarity of water uptake in all five cycles (Figure 7). ",
64,10.1021/ja500330a,MOF-802 ,Stable,"we find that MOF-801-P, MOF-802, MOF-841, UiO- 66, CAU-10, and MCM-41 exhibit the best and closest to the ideal cycling performance. These materials show robust cycling performance as indicated by the similarity of water uptake in all five cycles (Figure 7). ",
64,10.1021/ja500330a,MOF-804,Stable,"For DUT-67, MOF-804, MOF-74s, CAU-6, and zeolite 13X, we find a significant decrease from the first to the second cycle and a nearly constant uptake thereafter. ",
64,10.1021/ja500330a,MOF-805 ,Unstable,"The cycle performance results show that, for MOF-805, MOF-806, MOF-808, and Basolite A100, A300, and C300, the uptake constantly drops in every cycle. ",
64,10.1021/ja500330a,MOF-806 ,Unstable,"The cycle performance results show that, for MOF-805, MOF-806, MOF-808, and Basolite A100, A300, and C300, the uptake constantly drops in every cycle. ",
64,10.1021/ja500330a,MOF-808 ,Unstable,"The cycle performance results show that, for MOF-805, MOF-806, MOF-808, and Basolite A100, A300, and C300, the uptake constantly drops in every cycle. ",
64,10.1021/ja500330a,MOF-841 ,Stable,"we find that MOF-801-P, MOF-802, MOF-841, UiO- 66, CAU-10, and MCM-41 exhibit the best and closest to the ideal cycling performance. These materials show robust cycling performance as indicated by the similarity of water uptake in all five cycles (Figure 7). ",
64,10.1021/ja500330a,MOF-812,Not provided,Not provided,
64,10.1021/ja500330a,Basolite A100 ,Unstable,"The cycle performance results show that, for MOF-805, MOF-806, MOF-808, and Basolite A100, A300, and C300, the uptake constantly drops in every cycle. ",
64,10.1021/ja500330a,Basolite A300 ,Unstable,"The cycle performance results show that, for MOF-805, MOF-806, MOF-808, and Basolite A100, A300, and C300, the uptake constantly drops in every cycle. ",
64,10.1021/ja500330a,Basolite C300,Unstable,"The cycle performance results show that, for MOF-805, MOF-806, MOF-808, and Basolite A100, A300, and C300, the uptake constantly drops in every cycle. ",
64,10.1021/ja500330a,DUT-67,Stable,"For DUT-67, MOF-804, MOF-74s, CAU-6, and zeolite 13X, we find a significant decrease from the first to the second cycle and a nearly constant uptake thereafter. ",
64,10.1021/ja500330a,MOF-74(Mg),Stable,"For DUT-67, MOF-804, MOF-74s, CAU-6, and zeolite 13X, we find a significant decrease from the first to the second cycle and a nearly constant uptake thereafter. ",
64,10.1021/ja500330a,MOF-74(Ni),Stable,"For DUT-67, MOF-804, MOF-74s, CAU-6, and zeolite 13X, we find a significant decrease from the first to the second cycle and a nearly constant uptake thereafter. ",
64,10.1021/ja500330a,MOF-74(Co),Stable,"For DUT-67, MOF-804, MOF-74s, CAU-6, and zeolite 13X, we find a significant decrease from the first to the second cycle and a nearly constant uptake thereafter. ",
64,10.1021/ja500330a,UiO-66,Stable,"we find that MOF-801-P, MOF-802, MOF-841, UiO- 66, CAU-10, and MCM-41 exhibit the best and closest to the ideal cycling performance. These materials show robust cycling performance as indicated by the similarity of water uptake in all five cycles (Figure 7). ",
64,10.1021/ja500330a,CAU-6,Stable,"For DUT-67, MOF-804, MOF-74s, CAU-6, and zeolite 13X, we find a significant decrease from the first to the second cycle and a nearly constant uptake thereafter. ",
64,10.1021/ja500330a,Zeolite 13X,Stable,"For DUT-67, MOF-804, MOF-74s, CAU-6, and zeolite 13X, we find a significant decrease from the first to the second cycle and a nearly constant uptake thereafter. ",
65,10.1073pnas.0602439103,ZIF-1,Not provided,Not provided,
65,10.1073pnas.0602439103,ZIF-4,Not provided,Not provided,
65,10.1073pnas.0602439103,ZIF-6,Not provided,Not provided,
65,10.1073pnas.0602439103,ZIF-8 ,Stable,"However, only ZIF-8 maintained its structure for 7 days in boiling water, whereas ZIF-11 was transformed to another crystalline material after 3 days (see Section S4 in Supporting Appendix). ZIF-8 thus was further probed and shown to be unchanged for up to 24 h in 0.1 and 8 M aqueous sodium hydroxide at 100°C ",
65,10.1073pnas.0602439103,ZIF-11,Unstable,"However, only ZIF-8 maintained its structure for 7 days in boiling water, whereas ZIF-11 was transformed to another crystalline material after 3 days (see Section S4 in Supporting Appendix). ZIF-8 thus was further probed and shown to be unchanged for up to 24 h in 0.1 and 8 M aqueous sodium hydroxide at 100°C ","this is harsh condition: However, only ZIF-8 maintained its structure for 7 days in boiling water, whereas ZIF-11 was transformed to another crystalline material after 3 days (see Section S4 in Supporting Appendix). ZIF-8 thus was further probed and shown to be unchanged for up to 24 h in 0.1 and 8 M aqueous sodium hydroxide at 100°C"
65,10.1073pnas.0602439103,ZIF-9 (Co),Not provided,Not provided,
65,10.1073pnas.0602439103,ZIF-12 (Co),Not provided,Not provided,
66,10.1073pnas.0602439103,[Mn2(Hcbptz)2(Cl)]Cl,Stable,"When 1awas exposed toanatural airenviro nment with some degree ofhum idity forthree weeks, five cycles ofCO2 adsorption isoth erms at298Kshowed almos tequal upta kes (Figure 8),which indicate excellent stabil ity,which isanvery importa ntprope rtyforaMOFasCO2adsorbent forpost-com- bustion flue gases that contain acertain amount ofmoistu re."" and ""Micro porous MOF 1,which was constru cted byusing anN-rich pyraz inyltriazo lylcarbox ylligand,isarareexample ofaMOF",
66,10.1002/chem.201502532,[Mn2(Hcbptz)2(Cl)(H2O)]Cl.DMF.0.5 CH3CN  / MOF 1,Stable,"Herein, the reaction of H2cbptz with MnCl2 under solvothermal conditions yielded 3D cationic framework [Mn2(Hcbptz)2(Cl)(H2O)]Cl .DMF .0.5CH3CN(1), which shows high stability and remarkably selective CO2 capture over N2 and CH4 in the wide temperature range of 298–333 K"" and ""Moreover, 1 shows excellent stability in natural air environment.",thermal stability is given
67,10.1039/b917659d,"[Ni3(L1)2(m-4,40-bpy)3(H2O)2]n$(4,40-bpy)n$(H2O)5n ",Not provided,Not provided,
67,10.1039/b917659d,"[Ni3(L2)2(H2O)4(m-4,40-bpy)3]n$(H2O)2n ",Not provided,Not provided,
67,10.1039/b917659d,"[Ni3(L2)2(H2O)4(m-4,40-bpy)4]n$(H2O)2n ",Not provided,Not provided,
68,10.1039/c4cc02401j,UiO-67 ,Stable,"Herein we demonstrate that two Zr6-based MOFs, UiO-67 and NU-1000, are stable to linker hydrolysis under our experi- mental conditions. However, both frameworks are susceptible to capillary-force-driven channel collapse when activated directly from H2O. ",
68,10.1039/c4cc02401j,NU-1000,Stable,"Herein we demonstrate that two Zr6-based MOFs, UiO-67 and NU-1000, are stable to linker hydrolysis under our experi- mental conditions. However, both frameworks are susceptible to capillary-force-driven channel collapse when activated directly from H2O. ",
68,10.1039/c4cc02401j,UiO-66,Stable,"The prototypical example is UiO-66, a MOF built up from Zr6(O)4(OH)4 nodes and benzene dicarboxylate linkers; UiO-66 is thermally (up to 500 1C),3 mechanically,7 hydrolytically and chemically stable in a variety of organic solvents as well as acidic and basic aqueous media ",
69,10.1002/anie.201204806,UiO-66(Zr) ,Stable,"UiO-66(Zr) is stable up to 4508C under air and remains unaltered upon water adsorp- tion/desorption cycles by switching reversibly between dehy- droxylated and hydroxylated versions,[9,11] and has an excep- tional stability under mechanical stimulus.[9] ",
69,10.1002/anie.201204806,MIL-140A,Stable,"First, it appears, based on XRPD analysis, that MIL-140 compounds are hydrothermally stable, that is, after an overnight dispersion in deionized water at 100 8C (Figure 3), no loss of crystallinity occurs, even for the upper analogues. ",
69,10.1002/anie.201204806,MIL-140B,Stable,"First, it appears, based on XRPD analysis, that MIL-140 compounds are hydrothermally stable, that is, after an overnight dispersion in deionized water at 100 8C (Figure 3), no loss of crystallinity occurs, even for the upper analogues. ",
69,10.1002/anie.201204806,MIL-140C,Stable,"First, it appears, based on XRPD analysis, that MIL-140 compounds are hydrothermally stable, that is, after an overnight dispersion in deionized water at 100 8C (Figure 3), no loss of crystallinity occurs, even for the upper analogues. ",
69,10.1002/anie.201204806,MIL-140D,Stable,"First, it appears, based on XRPD analysis, that MIL-140 compounds are hydrothermally stable, that is, after an overnight dispersion in deionized water at 100 8C (Figure 3), no loss of crystallinity occurs, even for the upper analogues. ",
70,10.1002/ejic.201201228,UiO-66,Stable,"All of the solids, except 3- F2, retained their crystallinity after treatment with water, acetic acid and 1 m HCl solutions. ",
70,10.1002/ejic.201201228,UiO-66-Br2,Stable,"All of the solids, except 3- F2, retained their crystallinity after treatment with water, acetic acid and 1 m HCl solutions. ",
70,10.1002/ejic.201201228,UiO-66-F2,Unstable,"All of the solids, except 3- F2, retained their crystallinity after treatment with water, acetic acid and 1 m HCl solutions. ",
70,10.1002/ejic.201201228,UiO-66-CF3,Stable,"All of the solids, except 3- F2, retained their crystallinity after treatment with water, acetic acid and 1 m HCl solutions. ",
70,10.1002/ejic.201201228,UiO-66-Cl2,Stable,"All of the solids, except 3- F2, retained their crystallinity after treatment with water, acetic acid and 1 m HCl solutions. ",
70,10.1002/ejic.201201228,UiO-66-CF3,Stable,"All of the solids, except 3- F2, retained their crystallinity after treatment with water, acetic acid and 1 m HCl solutions. ",
71,10.1039/c1cc11054c,MOF-5,Stable,"Interestingly, the PXRD pattern of CH3MOF-5 remains unchanged even after 4 days exposure to air (CH3MOF-5-4d). Similar results were obtained for DiCH3MOF-5, as shown in Fig. 1. Clearly, the structures of CH3MOF-5 and DiCH3MOF-5 remain stable up to 4 days after exposure to ambient air.11,1 ",
71,10.1039/c1cc11054c,Methyl modified MOF-5,Stable,"Interestingly, the PXRD pattern of CH3MOF-5 remains unchanged even after 4 days exposure to air (CH3MOF-5-4d). Similar results were obtained for DiCH3MOF-5, as shown in Fig. 1. Clearly, the structures of CH3MOF-5 and DiCH3MOF-5 remain stable up to 4 days after exposure to ambient air.11,1 ",
72,10.1039/c3dt32288b,UiO-66-SO3H,Stable,"All of the three solids maintained their crystallinity after treat- ment with water, acetic acid and 1 M HCl solutions. ",
72,10.1039/c3dt32288b,UiO-66-CO2H,Stable,"All of the three solids maintained their crystallinity after treat- ment with water, acetic acid and 1 M HCl solutions. ",
72,10.1039/c3dt32288b,UiO-66-I,Stable,"All of the three solids maintained their crystallinity after treat- ment with water, acetic acid and 1 M HCl solutions. ",
73,10.1021/ie202325p,Mg MOF-74 ,Stable,"To examine the possible degradation of the tested materials, powder XRD data were collected for the as-synthesized samples and for the samples exposed to humid conditions and reactivated. Figure 3 illustrates the apparent structure retention of UiO-66-NH2 and Mg-MOF-74 and the significant loss of crystallinity for DMOF-1-NH2 and UMCM-1. UiO-66 and HKUST-1 also retained their crystallinity based on PXRD (Supporting Information), but it is important to note that slight degradation of the structure may not show up in the powder X- ray patterns due to high intensities of the peaks at low angles.",
73,10.1021/ie202325p,UiO-66(-NH2) ,Stable,"To examine the possible degradation of the tested materials, powder XRD data were collected for the as-synthesized samples and for the samples exposed to humid conditions and reactivated. Figure 3 illustrates the apparent structure retention of UiO-66-NH2 and Mg-MOF-74 and the significant loss of crystallinity for DMOF-1-NH2 and UMCM-1. UiO-66 and HKUST-1 also retained their crystallinity based on PXRD (Supporting Information), but it is important to note that slight degradation of the structure may not show up in the powder X- ray patterns due to high intensities of the peaks at low angles.",
73,10.1021/ie202325p,HKUST-1 ,Stable,"To examine the possible degradation of the tested materials, powder XRD data were collected for the as-synthesized samples and for the samples exposed to humid conditions and reactivated. Figure 3 illustrates the apparent structure retention of UiO-66-NH2 and Mg-MOF-74 and the significant loss of crystallinity for DMOF-1-NH2 and UMCM-1. UiO-66 and HKUST-1 also retained their crystallinity based on PXRD (Supporting Information), but it is important to note that slight degradation of the structure may not show up in the powder X- ray patterns due to high intensities of the peaks at low angles.",
73,10.1021/ie202325p,DMOF-1 ,Unstable,"DMOF-1 possesses micropores with diameters similar to UiO- 66 and exhibits pore ﬁlling at nearly the same point, ca. 20% RH. However, the indicative water adsorption step is less signiﬁcant in DMOF-1, and the desorption data are not capable of conﬁrming complete pore ﬁlling due to the complete framework collapse which occurs during the water adsorption above 40% RH.",
73,10.1021/ie202325p,DMOF-1-NH2,Unstable,"To examine the possible degradation of the tested materials, powder XRD data were collected for the as-synthesized samples and for the samples exposed to humid conditions and reactivated. Figure 3 illustrates the apparent structure retention of UiO-66-NH2 and Mg-MOF-74 and the significant loss of crystallinity for DMOF-1-NH2 and UMCM-1. UiO-66 and HKUST-1 also retained their crystallinity based on PXRD (Supporting Information), but it is important to note that slight degradation of the structure may not show up in the powder X- ray patterns due to high intensities of the peaks at low angles.",
73,10.1021/ie202325p,UMCM-1 ,Unstable,The crystal structure of UMCM-1 was completely degraded after water exposure and regeneration. This instability is attributed to the four-coordinated zinc-carboxylate system.,
74,10.1021/la3035352,UiO-66(-NH2) ,Stable,"All of the materials are shown to be stable after water vapor exposure and adsorb significant amounts of water regardless of the nature of the organic linker, although the naphthyl variant adsorbs 25% less than the other materials at saturation. ",
74,10.1021/la3035352,UiO-66(-OMe) ,Stable,"All of the materials are shown to be stable after water vapor exposure and adsorb significant amounts of water regardless of the nature of the organic linker, although the naphthyl variant adsorbs 25% less than the other materials at saturation. ",
74,10.1021/la3035352,UiO-66(-Naphyl) ,Stable,"All of the materials are shown to be stable after water vapor exposure and adsorb significant amounts of water regardless of the nature of the organic linker, although the naphthyl variant adsorbs 25% less than the other materials at saturation. ",
74,10.1021/la3035352,UiO-66,Stable,"The unfunctionalized UiO-66 material shows similar water adsorption at low water vapor concentrations, but finally adsorbs large amounts of water above 20% RH at the onset of pore filling."" and ""As shown in Figure 8, all samples present unchanged PXRD patterns after water exposure. In each case, the peak positions and the ratios of peak heights remain the same indicating no loss of crystallinity.",
74,10.1021/la3035352,UiO-66(-NO2),Stable,"UiO-66 −NH2and UiO-66 −NO2present the most hydrophilic pore environments and show similar adsorption isotherms with significant amounts of water loading occurring below 20% RH."" and ""As shown in Figure 8, all samples present unchanged PXRD patterns after water exposure. In each case, the peak positions and the ratios of peak heights remain the same indicating no loss of crystallinity.",
75,10.1021/cm3025445,CAU-10-H,Stable,"The stabilities of all compounds in aqueous solutions of varying pH were confirmed by XRPD measurements. Upon treatment with water at 130 °C under stirring for 3 h, no decomposition is observed as well.",
75,10.1021/cm3025445,CAU-10-CH3,Stable,"The stabilities of all compounds in aqueous solutions of varying pH were confirmed by XRPD measurements. Upon treatment with water at 130 °C under stirring for 3 h, no decomposition is observed as well.",
75,10.1021/cm3025445,CAU-10-OCH3,Stable,"The stabilities of all compounds in aqueous solutions of varying pH were confirmed by XRPD measurements. Upon treatment with water at 130 °C under stirring for 3 h, no decomposition is observed as well.",
75,10.1021/cm3025445,CAU-10-NO2,Stable,"The stabilities of all compounds in aqueous solutions of varying pH were confirmed by XRPD measurements. Upon treatment with water at 130 °C under stirring for 3 h, no decomposition is observed as well.",
75,10.1021/cm3025445,CAU-10-NH2,Stable,"The stabilities of all compounds in aqueous solutions of varying pH were confirmed by XRPD measurements. Upon treatment with water at 130 °C under stirring for 3 h, no decomposition is observed as well.",
75,10.1021/cm3025445,CAU-10-OH,Stable,"The stabilities of all compounds in aqueous solutions of varying pH were confirmed by XRPD measurements. Upon treatment with water at 130 °C under stirring for 3 h, no decomposition is observed as well.",
76,10.1021/ja802121u,ZIF-8,Not provided,Not provided,
76,10.1021/ja802121u,MIL-100(Cr),Not provided,Not provided,
76,10.1021/ja802121u,UMCM-150,Not provided,Not provided,
76,10.1021/ja802121u,HKUST-1,Not provided,Not provided,
76,10.1021/ja802121u,MOF-5,Not provided,Not provided,
76,10.1021/ja802121u,MOF-177,Not provided,Not provided,
76,10.1021/ja802121u,MOF-505,Not provided,Not provided,
77,10.1021/co3000192,Cu-PCN,Stable,"Importantly, we have shown that these materials are robust with respect to exposure to water vapor and/or acid gases. Like the results for adsorption selectivity, most MOFs showed almost no change in diffusion selectivity after water vapor exposure.",
77,10.1021/co3000192,Zn-TTC,Unstable,"Zn-TTC showed a large increase in diffusion selectivity after water vapor exposure, but this increase disappeared after exposure to acid gases."" and ""Zn-TTC showed adsorption properties that improved slightly after acid gas exposure."" and ""Zn-TTC transformed into a new and currently unidentified phase after acid gas exposure.",
77,10.1021/co3000192,Zn/Co-BTEC,Unstable,"Zn/Co-BTEC showed the largest decrease in CO2 uptake ( −54%) and selectivity ( −55%) after SO2 and NO2 exposure. Zn/Co-BTEC showed large decrease in the XRD peak intensities, indicating structural degradation.",
77,10.1021/co3000192,Ni-HF,Unstable,"Like the results for adsorption selectivity, most MOFs showed almost no change in diffusion selectivity after water vapor exposure. Only Ni-HF showed a significant decrease in diffusion selectivity after this exposure. Ni-HF showed degradation over time even without exposure to water vapor and the acid gas exposure while sealed in glassware at room temperature.",
77,10.1021/co3000192,ZIF-7,Stable,Water vapor exposure did not lead to large changes in the XRD patterns.,
77,10.1021/co3000192,ZIF-90,Stable,Water vapor exposure did not lead to large changes in the XRD patterns.,
77,10.1021/co3000192,Co-NIC,Stable,"Importantly, we have shown that these materials are robust with respect to exposure to water vapor and/or acid gases. Like the results for adsorption selectivity, most MOFs showed almost no change in diffusion selectivity after water vapor exposure.",
77,10.1021/co3000192,ZIF-8,Stable,"Water vapor exposure did not lead to large changes in the XRD patterns. Like the results for adsorption selectivity, most MOFs showed almost no change in diffusion selectivity after water vapor. exposure.",
78,10.1039/c2cc33023g,JUC-110,Stable,"JUC-110 shows excellent hydrothermal stability. Even treatment with boiling water for 10 days, JUC-110 retains its crystalline structure, which is rare among porous MOFs, especially 2D ones",
79,10.1021/cg301691d,DUT-67,Stable,The soaking in water does not cause changes in powder di ﬀraction patterns pointing on the intact structure.,
79,10.1021/cg301691d,DUT-68,Stable,The soaking in water does not cause changes in powder di ﬀraction patterns pointing on the intact structure.,
79,10.1021/cg301691d,DUT-69,Stable,The soaking in water does not cause changes in powder di ﬀraction patterns pointing on the intact structure.,
80,10.1002/chem.201100316,MIL-53-Al/Al-BDC,Unstable,"The stability of the M-BDCs in an acid, base, and water, therefore, follows the order of Cr-BDC >Al-BDC >V-BDC. he remarkable stability of MIL-100 (chromium-trimesate)and MIL-101 (mesoporous chromium-BDC) in water may be due to the inert CrIIIion.",
80,10.1002/chem.201100316,MIL-53-Cr/Cr-BDC,Stable,"Even though the Cr-BDC is very stable to acid or water up to 48 h (Supporting Information, Figures S3 and S4), the surface areas and XRD intensities of the Al-BDC decreases steadily and those of the V-BDC are very low just after 1 h",
80,10.1002/chem.201100316,MIL-47-V/V-BDC,Unstable,"Even though the Cr-BDC is very stable to acid or water up to 48 h (Supporting Information, Figures S3 and S4), the surface areas and XRD intensities of the Al-BDC decreases steadily and those of the V-BDC are very low just after 1 h",
81,10.1039/c3sc22207a,Bio-MOF-14,Stable,"Bio-MOF-14 , with the valerate groups, was the most stable of the series and showed no loss of crystallinity (Fig. 10) and no signiﬁcant crystal degradation after soaking in water for 1 hour (Fig. 11). We therefore extended the water soaking period to 7 and 30 days; the PXRD pattern shows no loss in crystallinity(Fig. S24 †), and SEM images show only minimal pitting on the crystal surface after 7 or 30 days soaking in water (Fig. S23 †).",
81,10.1039/c3sc22207a,Bio-MOF-13,Unstable,"Bio-MOFs-12 and 13 dissolved partially in water. The intensity of their signature di ﬀraction lines decreased substantially (Fig. 10); however, it was clear from comparing PXRD patterns that bio-MOF-13 , with butyrate, was noticeably more stable in water than bio-MOF-12 , with propionate (Fig. 10).",
81,10.1039/c3sc22207a,Bio-MOF-12,Unstable,"Bio-MOFs-12 and 13 dissolved partially in water. The intensity of their signature di ﬀraction lines decreased substantially (Fig. 10); however, it was clear from comparing PXRD patterns that bio-MOF-13 , with butyrate, was noticeably more stable in water than bio-MOF-12 , with propionate (Fig. 10).",
81,10.1039/c3sc22207a,Bio-MOF-11,Unstable,"Bio-MOF-11 , as mentioned previously, dissolved rapidly in water, as evidenced by PXRD (Fig. 10); SEM images could not be obtained.",
82,10.1016/j.micromeso.2013.01.020,{[Ni(L)2] 4H2O}n,Not provided,Not provided,
82,10.1016/j.micromeso.2013.01.020,{[Co(L)2]4H2O}n,Not provided,Not provided,
83,10.1002/asia.201201081,"[Zn3 ACHTUNGTRENNUNG(bpdc)3(2,2’-dmbpy)]. ACHTUNGTRENNUNG(DMF)x ACHTUNGTRENNUNG(H2O)y",Stable,Figures S4 and S5 in the Supporting Information show that the framework of 1 remains unchanged after exposure to water vapor for up to 10 days.,
83,10.1002/asia.201201081,"[Zn3 ACHTUNGTRENNUNG(bpdc)3(3,3’-dmbpy)]. ACHTUNGTRENNUNG(DMF)4 ACHTUNGTRENNUNG(H2O)0.5",Stable,"Thermogravimetric analysis (TGA) and PXRD studies reveal high thermal and water stability for both compounds. Figures S4 and S5 in the Supporting Information show that the framework of 1 remains unchanged after exposure to water vapor for up to 10 days, whereas its parent structure 3 (without /C0CH 3 functionalization) shows significant degradation after exposure over the same length of time.",
83,10.1002/asia.201201081,[Zn3 ACHTUNGTRENNUNG(bpdc)3 ACHTUNGTRENNUNG(bpy)]. ACHTUNGTRENNUNG(DMF)4. ACHTUNGTRENNUNG(H2O),Unstable,"To investigate the effect of /C0CH 3 on the water stability, compounds 1and 3were tested in a water-vapor (323 K) environment. whereas its parent structure 3(without /C0CH 3func-tionalization) shows significant degradation after exposure over the same length of time.",
84,10.1021/ja3063919,PCN-56,Stable,"Importantly, chemical stability examinations revealed that these MOFs can not only survive water treatment but also remain intact in dilute acid (pH = 2 solution with HCl) and base (pH =11 solution with NaOH) for some time (section 12 in the SI).",
84,10.1021/ja3063919,PCN-57,Stable,"Importantly, chemical stability examinations revealed that these MOFs can not only survive water treatment but also remain intact in dilute acid (pH = 2 solution with HCl) and base (pH =11 solution with NaOH) for some time (section 12 in the SI).",
84,10.1021/ja3063919,PCN-58,Stable,"Importantly, chemical stability examinations revealed that these MOFs can not only survive water treatment but also remain intact in dilute acid (pH = 2 solution with HCl) and base (pH =11 solution with NaOH) for some time (section 12 in the SI).",
84,10.1021/ja3063919,PCN-59,Stable,"Importantly, chemical stability examinations revealed that these MOFs can not only survive water treatment but also remain intact in dilute acid (pH = 2 solution with HCl) and base (pH =11 solution with NaOH) for some time (section 12 in the SI).",
85,10.1021/ic302645r,{[Zn4O(bfbpdc)3(bpy)0.5(H2O)].(3DMF)(H2O)}n,Stable,"The stability of the compound in the presence of water vapor was checked. The framework stability was confirmed from the PXRD pattern. Here, the water stability of this framework might be due to introducing hydrophobic functional groups like −CF3 into the framework structures, which make the framework water resistant.",
85,10.1021/ic302645r,DUT-23,Not provided,Not provided,
85,10.1021/ic302645r,DUT-49,Not provided,Not provided,
85,10.1021/ic302645r,MOF-210,Not provided,Not provided,
85,10.1021/ic302645r,PCN-14,Not provided,Not provided,
85,10.1021/ic302645r,MOF-253,Not provided,Not provided,
85,10.1021/ic302645r,UMCM-150,Not provided,Not provided,
86,10.1021/cg300518k,CuEBTC,Stable,"As shown in Figure 2, the PXRD patterns do not change significantly from the activated sample after exposure to 90% relative humidity. Clearly, the alkyl functional groups extending from BTC into the pore space are depressing the water adsorption, in spite of the large porosity and presence of open-metal sites.",
86,10.1021/cg300518k,CuMBTC,Stable,"As shown in Figure 2, the PXRD patterns do not change significantly from the activated sample after exposure to 90% relative humidity. Clearly, the alkyl functional groups extending from BTC into the pore space are depressing the water adsorption, in spite of the large porosity and presence of open-metal sites.",
86,10.1021/cg300518k,HKUST-1,Stable,"The anhydrates are stable under dry air, and the samples rehydrate on exposure to humid air. As shown in Figure 2, the PXRD patterns do not change significantly from the activated sample after exposure to 90% relative humidity.",
87,10.1126/science.1116275 ,MIL-101,Not provided,Not provided,
87,10.1126/science.1116275 ,MIL-100,Not provided,Not provided,
88,10.1021/ja406844r,PCN-56,Stable,"During our persistent efforts in this research line, we have reported PCN-56 to -59 with UiO type structure that remains intact in dilute acid and base (2 < pH < 11)9f and PCN-222 survives in concentrated HCl solution8b recently.",
88,10.1021/ja406844r,PCN-57,Stable,"During our persistent efforts in this research line, we have reported PCN-56 to -59 with UiO type structure that remains intact in dilute acid and base (2 < pH < 11)9f and PCN-222 survives in concentrated HCl solution8b recently.",
88,10.1021/ja406844r,PCN-58,Stable,"During our persistent efforts in this research line, we have reported PCN-56 to -59 with UiO type structure that remains intact in dilute acid and base (2 < pH < 11)9f and PCN-222 survives in concentrated HCl solution8b recently.",
88,10.1021/ja406844r,PCN-59,Stable,"During our persistent efforts in this research line, we have reported PCN-56 to -59 with UiO type structure that remains intact in dilute acid and base (2 < pH < 11)9f and PCN-222 survives in concentrated HCl solution8b recently.",
88,10.1021/ja406844r,PCN-225,Stable,"PCN-225 is one of the most stable MOFs with large pore sizes that can survive in an extensive pH range. To further demonstrate the stability of PCN-225, we have conducted N2 sorption upon soaking MOF in the solutions with different pH values.N2 adsorption isotherms indicate that the porosity of PCN-225 is perfectly maintained in pH = 1 −11 solutions as well as boiling water.",
88,10.1021/ja406844r,PCN-225(Zn),Stable,"PCN-225 and PCN-225(Zn), have been developed as the first MOFs with a (4,8)-connected sqc net. They exhibit exceptional chemical stability in aqueous solutions with pH ranging from 1 to 11.",
88,10.1021/ja406844r,UiO-66,Not provided,Not provided,
89,10.1021/ja8057953,UiO-66,Stable,"The resistance of Zr-BDC MOF toward solvents like water, DMF, benzene, and acetone was investigated by stirring the desolvated sample in the solvent for 24 h. The UiO-66 material has further been exposed to increasing pressure up to 10.000 kg/cm2. Evidently, the powder XRD pattern remains virtually unaltered by the applied treatment.",
89,10.1021/ja8057953,UiO-67,Not provided,Not provided,
89,10.1021/ja8057953,UiO-68,Not provided,Not provided,
90,10.1002/adfm.201203288,LaBTB,Stable,"The water and chemical stability of 1 were examined by soaking the as-synthesized samples in harsh conditions: hot (60 ° C and 100 ° C) aqueous HCl (pH = 2), aqueous NaOH (pH = 14) and water solutions for three days. The PXRD patterns of a series of samples strongly indicate the integrity of the frame-work under these conditions.",
90,10.1002/adfm.201203288,UiO-66,Not provided,Not provided,
91,10.1002/anie.201204475,PCN-222(Fe),Stable,"The powder X-ray diffraction (XRD) patterns remain intact upon immersion in water, boiling water, as well as 2 m,4m,8m, and even concentrated aqueous HCl solutions for 24 h, suggesting that no phase transition or framework collapse happens during these treatments."" and ""More importantly, the N2 sorption isotherms remained almost the same through all treatments, which further confirmed that the tested frameworks remained intact.",
91,10.1002/anie.201204475,PCN-222(Mn),Stable,"he powder X-ray diffraction (XRD) patterns remain intact upon immersion in water, boiling water, as well as 2 m,4m,8m, and even concentrated aqueous HCl solutions for 24 h, suggesting that no phase transition or framework collapse happens during these treatments. More importantly, the N2 sorption isotherms remained almost the same through all treatments, which further confirmed that the tested frameworks remained intact.",
91,10.1002/anie.201204475,PCN-222(Co),Stable,"he powder X-ray diffraction (XRD) patterns remain intact upon immersion in water, boiling water, as well as 2 m,4m,8m, and even concentrated aqueous HCl solutions for 24 h, suggesting that no phase transition or framework collapse happens during these treatments. More importantly, the N2 sorption isotherms remained almost the same through all treatments, which further confirmed that the tested frameworks remained intact.",
